Country,Code,GDP (Current $USD)
Aruba,ABW,2700558659
Afghanistan,AFG,20191764940
Angola,AGO,1.22E+11
Albania,ALB,13025064967
Andorra,AND,3013387424
Arab World,ARB,2.59E+12
United Arab Emirates,ARE,3.78E+11
Argentina,ARG,6.43E+11
Armenia,ARM,11527458566
American Samoa,ASM,602000000
Antigua and Barbuda,ATG,1467977778
Australia,AUS,1.33E+12
Austria,AUT,4.17E+11
Azerbaijan,AZE,40865558912
Burundi,BDI,3172292379
Belgium,BEL,5.03E+11
Benin,BEN,12701656931
Burkina Faso,BFA,12330338343
Bangladesh,BGD,2.50E+11
Bulgaria,BGR,58220973783
Bahrain,BHR,35432686170
"Bahamas, The",BHS,12150400000
Bosnia and Herzegovina,BIH,18080118128
Belarus,BLR,54726595249
Belize,BLZ,1836593466
Bermuda,BMU,
Bolivia,BOL,37508642258
Brazil,BRA,2.06E+12
Barbados,BRB,4989500000
Brunei Darussalam,BRN,12128104859
Bhutan,BTN,2450364929
Botswana,BWA,17405538618
Central African Republic,CAF,2067230996
Canada,CAN,1.65E+12
Central Europe and the Baltics,CEB,1.46E+12
Switzerland,CHE,6.80E+11
Channel Islands,CHI,
Chile,CHL,2.78E+11
China,CHN,1.21E+13
Cote d'Ivoire,CIV,38053606751
Cameroon,CMR,34922782311
"Congo, Dem. Rep.",COD,38019265626
"Congo, Rep.",COG,8701334800
Colombia,COL,3.12E+11
Comoros,COM,1074778461
Cabo Verde,CPV,1769787215
Costa Rica,CRI,58174549218
Caribbean small states,CSS,69602182809
Cuba,CUB,96851000000
Curacao,CUW,3116610112
Cayman Islands,CYM,5141833913
Cyprus,CYP,22638608224
Czech Republic,CZE,2.16E+11
Germany,DEU,3.66E+12
Djibouti,DJI,2766868072
Dominica,DMA,519837037
Denmark,DNK,3.29E+11
Dominican Republic,DOM,79998045976
Algeria,DZA,1.67E+11
East Asia & Pacific (excluding high income),EAP,1.47E+13
Early-demographic dividend,EAR,1.14E+13
East Asia & Pacific,EAS,2.39E+13
Europe & Central Asia (excluding high income),ECA,3.32E+12
Europe & Central Asia,ECS,2.16E+13
Ecuador,ECU,1.04E+11
"Egypt, Arab Rep.",EGY,2.35E+11
Euro area,EMU,1.26E+13
Eritrea,ERI,
Spain,ESP,1.31E+12
Estonia,EST,26792757827
Ethiopia,ETH,81760441159
European Union,EUU,1.47E+13
Fragile and conflict affected situations,FCS,1.62E+12
Finland,FIN,2.54E+11
Fiji,FJI,5353404419
France,FRA,2.59E+12
Faroe Islands,FRO,
"Micronesia, Fed. Sts.",FSM,366666808.6
Gabon,GAB,14892609693
United Kingdom,GBR,2.67E+12
Georgia,GEO,16242956764
Ghana,GHA,58996776238
Gibraltar,GIB,
Guinea,GIN,10324668267
"Gambia, The",GMB,1504954958
Guinea-Bissau,GNB,1346841897
Equatorial Guinea,GNQ,12200914930
Greece,GRC,2.03E+11
Grenada,GRD,1126882296
Greenland,GRL,
Guatemala,GTM,75620081928
Guam,GUM,5851000000
Guyana,GUY,3555205811
High income,HIC,5.10E+13
"Hong Kong SAR, China",HKG,3.42E+11
Honduras,HND,23136232230
Heavily indebted poor countries (HIPC),HPC,7.59E+11
Croatia,HRV,55319620158
Haiti,HTI,8409497402
Hungary,HUN,1.42E+11
IBRD only,IBD,2.87E+13
IDA & IBRD total,IBT,3.08E+13
IDA total,IDA,2.17E+12
IDA blend,IDB,9.41E+11
Indonesia,IDN,1.02E+12
IDA only,IDX,1.24E+12
Isle of Man,IMN,6770532819
India,IND,2.65E+12
Not classified,INX,
Ireland,IRL,3.35E+11
"Iran, Islamic Rep.",IRN,4.54E+11
Iraq,IRQ,1.95E+11
Iceland,ISL,24489493459
Israel,ISR,3.53E+11
Italy,ITA,1.96E+12
Jamaica,JAM,14806340821
Jordan,JOR,40708943662
Japan,JPN,4.86E+12
Kazakhstan,KAZ,1.67E+11
Kenya,KEN,78757391333
Kyrgyz Republic,KGZ,7702934800
Cambodia,KHM,22180376506
Kiribati,KIR,185572501.5
St. Kitts and Nevis,KNA,996944444.4
"Korea, Rep.",KOR,1.53E+12
Kuwait,KWT,1.21E+11
Latin America & Caribbean (excluding high income),LAC,5.42E+12
Lao PDR,LAO,16853087485
Lebanon,LBN,53393799668
Liberia,LBR,3285455000
Libya,LBY,37881431913
St. Lucia,LCA,1816728741
Latin America & Caribbean,LCN,5.99E+12
Least developed countries: UN classification,LDC,1.09E+12
Low income,LIC,5.47E+11
Liechtenstein,LIE,
Sri Lanka,LKA,88019706804
Lower middle income,LMC,6.52E+12
Low & middle income,LMY,3.00E+13
Lesotho,LSO,2565352373
Late-demographic dividend,LTE,2.04E+13
Lithuania,LTU,47632961168
Luxembourg,LUX,64023412340
Latvia,LVA,30198231776
"Macao SAR, China",MAC,50751059058
St. Martin (French part),MAF,
Morocco,MAR,1.10E+11
Monaco,MCO,6415370746
Moldova,MDA,9669759987
Madagascar,MDG,13176313594
Maldives,MDV,4735989972
Middle East & North Africa,MEA,3.27E+12
Mexico,MEX,1.16E+12
Marshall Islands,MHL,212881000
Middle income,MIC,2.94E+13
North Macedonia,MKD,11279509014
Mali,MLI,15337740141
Malta,MLT,12768671650
Myanmar,MMR,66719084253
Middle East & North Africa (excluding high income),MNA,1.44E+12
Montenegro,MNE,4844592067
Mongolia,MNG,11425755280
Northern Mariana Islands,MNP,1601000000
Mozambique,MOZ,13219084261
Mauritania,MRT,4905893855
Mauritius,MUS,13259351418
Malawi,MWI,6303292264
Malaysia,MYS,3.19E+11
North America,NAC,2.11E+13
Namibia,NAM,13566192144
New Caledonia,NCL,
Niger,NER,8119710126
Nigeria,NGA,3.76E+11
Nicaragua,NIC,13785943183
Netherlands,NLD,8.32E+11
Norway,NOR,3.98E+11
Nepal,NPL,25180583770
Nauru,NRU,113884908.4
New Zealand,NZL,2.03E+11
OECD members,OED,4.98E+13
Oman,OMN,70597919376
Other small states,OSS,4.05E+11
Pakistan,PAK,3.05E+11
Panama,PAN,62283800000
Peru,PER,2.11E+11
Philippines,PHL,3.14E+11
Palau,PLW,286321800
Papua New Guinea,PNG,22742613549
Poland,POL,5.26E+11
Pre-demographic dividend,PRE,1.32E+12
Puerto Rico,PRI,1.04E+11
"Korea, Dem. People’s Rep.",PRK,
Portugal,PRT,2.21E+11
Paraguay,PRY,39008900332
West Bank and Gaza,PSE,14498100000
Pacific island small states,PSS,10011104666
Post-demographic dividend,PST,4.73E+13
French Polynesia,PYF,
Qatar,QAT,1.67E+11
Romania,ROU,2.12E+11
Russian Federation,RUS,1.58E+12
Rwanda,RWA,9140429058
South Asia,SAS,3.35E+12
Saudi Arabia,SAU,6.89E+11
Sudan,SDN,1.23E+11
Senegal,SEN,21081669870
Singapore,SGP,3.38E+11
Solomon Islands,SLB,1309631135
Sierra Leone,SLE,3739577973
El Salvador,SLV,24928000000
San Marino,SMR,1632860041
Somalia,SOM,4508845348
Serbia,SRB,44120424392
Sub-Saharan Africa (excluding high income),SSA,1.69E+12
South Sudan,SSD,
Sub-Saharan Africa,SSF,1.69E+12
Small states,SST,4.85E+11
Sao Tome and Principe,STP,375040173.8
Suriname,SUR,3068766110
Slovak Republic,SVK,95241436352
Slovenia,SVN,48441722816
Sweden,SWE,5.41E+11
Eswatini,SWZ,4446248678
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,1503168690
Syrian Arab Republic,SYR,
Turks and Caicos Islands,TCA,962525840
Chad,TCD,9975692095
East Asia & Pacific (IDA & IBRD countries),TEA,1.46E+13
Europe & Central Asia (IDA & IBRD countries),TEC,3.91E+12
Togo,TGO,4819949975
Thailand,THA,4.55E+11
Tajikistan,TJK,7157865188
Turkmenistan,TKM,37926285714
Latin America & the Caribbean (IDA & IBRD countries),TLA,5.75E+12
Timor-Leste,TLS,1609669330
Middle East & North Africa (IDA & IBRD countries),TMN,1.43E+12
Tonga,TON,430174168.7
South Asia (IDA & IBRD),TSA,3.35E+12
Sub-Saharan Africa (IDA & IBRD countries),TSS,1.69E+12
Trinidad and Tobago,TTO,22474828527
Tunisia,TUN,39813383484
Turkey,TUR,8.53E+11
Tuvalu,TUV,40620557.13
Tanzania,TZA,53320625959
Uganda,UGA,25995031850
Ukraine,UKR,1.12E+11
Upper middle income,UMC,2.29E+13
Uruguay,URY,56488991831
United States,USA,1.95E+13
Uzbekistan,UZB,59159945321
St. Vincent and the Grenadines,VCT,792177777.8
"Venezuela, RB",VEN,
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,3855000000
Vietnam,VNM,2.24E+11
Vanuatu,VUT,880043553.7
World,WLD,8.10E+13
Samoa,WSM,831903814.1
Kosovo,XKX,7227700023
"Yemen, Rep.",YEM,26818703093
South Africa,ZAF,3.50E+11
Zambia,ZMB,25868142077
Zimbabwe,ZWE,22813010116
